,EdLevel,EdLevelClean
4949,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4950,"Associate degree (A.A., A.S., etc.)",Associate degree
4951,Some college/university study without earning a degree,Some college (no degree)
4952,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4953,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
4954,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4955,Some college/university study without earning a degree,Some college (no degree)
4956,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4957,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
4958,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4959,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4960,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4961,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4962,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
4963,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4964,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4965,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4966,Something else,Something else
4967,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4968,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4969,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
4970,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4971,Some college/university study without earning a degree,Some college (no degree)
4972,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4973,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4974,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4975,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4976,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4977,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
4978,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
4979,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4980,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4981,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4982,Some college/university study without earning a degree,Some college (no degree)
4983,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
4984,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4985,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4986,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4987,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4988,Some college/university study without earning a degree,Some college (no degree)
4989,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4990,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4991,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4992,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4993,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4994,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4995,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4996,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4997,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
4998,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
4999,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5000,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5001,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5002,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5003,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5004,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5005,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5006,Something else,Something else
5007,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5008,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5009,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5010,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5011,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5012,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5013,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5014,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5015,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5016,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5017,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5018,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5019,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5020,Some college/university study without earning a degree,Some college (no degree)
5021,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5022,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5023,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5024,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5025,Some college/university study without earning a degree,Some college (no degree)
5026,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5027,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5028,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5029,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5030,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5031,Something else,Something else
5032,Some college/university study without earning a degree,Some college (no degree)
5033,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5034,"Associate degree (A.A., A.S., etc.)",Associate degree
5035,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5036,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5037,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5038,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5039,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5040,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5041,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5042,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5043,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5044,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5045,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5046,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5047,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5048,"Associate degree (A.A., A.S., etc.)",Associate degree
5049,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5050,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5051,Something else,Something else
5052,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5053,Some college/university study without earning a degree,Some college (no degree)
5054,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5055,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5056,Some college/university study without earning a degree,Some college (no degree)
5057,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5058,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5059,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5060,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5061,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5062,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5063,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5064,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5065,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5066,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5067,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5068,Some college/university study without earning a degree,Some college (no degree)
5069,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5070,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5071,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5072,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5073,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5074,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5075,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5076,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5077,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5078,Some college/university study without earning a degree,Some college (no degree)
5079,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5080,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5081,Primary/elementary school,Primary/elementary school
5082,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5083,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5084,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5085,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5086,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5087,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5088,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5089,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5090,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5091,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5092,"Associate degree (A.A., A.S., etc.)",Associate degree
5093,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5094,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5095,Some college/university study without earning a degree,Some college (no degree)
5096,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5097,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5098,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5099,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5100,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5101,Some college/university study without earning a degree,Some college (no degree)
5102,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5103,"Associate degree (A.A., A.S., etc.)",Associate degree
5104,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5105,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5106,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5107,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5108,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5109,"Associate degree (A.A., A.S., etc.)",Associate degree
5110,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5111,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5112,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5113,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5114,"Associate degree (A.A., A.S., etc.)",Associate degree
5115,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5116,Some college/university study without earning a degree,Some college (no degree)
5117,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5118,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5119,Some college/university study without earning a degree,Some college (no degree)
5120,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5121,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5122,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5123,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5124,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5125,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5126,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5127,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5128,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5129,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5130,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5131,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5132,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5133,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5134,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5135,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5136,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5137,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5138,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5139,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5140,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5141,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5142,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5143,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5144,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5145,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5146,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5147,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5148,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5149,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5150,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5151,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5152,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5153,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5154,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5155,Some college/university study without earning a degree,Some college (no degree)
5156,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5157,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5158,Some college/university study without earning a degree,Some college (no degree)
5159,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5160,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5161,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5162,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5163,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5164,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5165,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5166,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5167,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5168,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5169,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5170,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5171,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5172,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5173,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5174,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5175,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5176,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5177,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5178,Some college/university study without earning a degree,Some college (no degree)
5179,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5180,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5181,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5182,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5183,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5184,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5185,Primary/elementary school,Primary/elementary school
5186,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5187,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5188,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5189,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5190,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5191,Some college/university study without earning a degree,Some college (no degree)
5192,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5193,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5194,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5195,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5196,Some college/university study without earning a degree,Some college (no degree)
5197,Some college/university study without earning a degree,Some college (no degree)
5198,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5199,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5200,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5201,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5202,Some college/university study without earning a degree,Some college (no degree)
5203,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5204,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5205,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5206,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5207,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
5208,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5209,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5210,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5211,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5212,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5213,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5214,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5215,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5216,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5217,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5218,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5219,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5220,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5221,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5222,Some college/university study without earning a degree,Some college (no degree)
5223,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5224,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5225,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5226,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5227,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5228,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5229,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5230,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5231,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5232,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5233,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5234,"Associate degree (A.A., A.S., etc.)",Associate degree
5235,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5236,Some college/university study without earning a degree,Some college (no degree)
5237,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5238,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5239,Some college/university study without earning a degree,Some college (no degree)
5240,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5241,Some college/university study without earning a degree,Some college (no degree)
5242,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5243,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5244,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5245,Primary/elementary school,Primary/elementary school
5246,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5247,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5248,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5249,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5250,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5251,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5252,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5253,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5254,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5255,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5256,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5257,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5258,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5259,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5260,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5261,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5262,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5263,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5264,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5265,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5266,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5267,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5268,Some college/university study without earning a degree,Some college (no degree)
5269,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5270,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5271,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5272,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5273,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5274,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5275,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5276,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5277,Some college/university study without earning a degree,Some college (no degree)
5278,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5279,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5280,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5281,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5282,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5283,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5284,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5285,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5286,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5287,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5288,Something else,Something else
5289,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5290,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5291,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5292,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5293,Some college/university study without earning a degree,Some college (no degree)
5294,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5295,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5296,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5297,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5298,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5299,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
5300,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5301,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5302,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5303,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5304,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5305,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5306,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5307,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5308,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5309,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5310,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
5311,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
5312,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
