,EdLevel,EdLevelClean
15915,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15916,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15917,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15918,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15919,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15920,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15921,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15922,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15923,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Secondary school
15924,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15925,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15926,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15927,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15928,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15929,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15930,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15931,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15932,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15933,Some college/university study without earning a degree,Some college (no degree)
15934,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15935,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15936,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15937,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15938,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15939,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15940,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15941,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15942,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15943,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Bachelor's degree
15944,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15945,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15946,Some college/university study without earning a degree,Some college (no degree)
15947,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
15948,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Professional degree
15949,Some college/university study without earning a degree,Some college (no degree)
15950,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Master's degree
